Option,From,To,Airline,Depart,Arrive,Duration,Stops,Stop Detail,Date,Price
1,LAS,JFK,Delta,3:55 pm,"12:09 am
+1",5h 14m,nonstop,N/A,2025-4-10,$292
1,JFK,LAS,Delta,9:15 pm,"12:17 am
+1",6h 02m,nonstop,N/A,2025-4-10,$292
2,LAS,JFK,Frontier,9:34 pm,"5:30 am
+1",4h 56m,nonstop,N/A,2025-4-17,$166
2,JFK,LAS,Frontier,6:59 am,9:51 am,5h 52m,nonstop,N/A,2025-4-17,$166
3,LAS,EWR,Spirit Airlines,10:43 pm,"6:43 am
+1",5h 00m,nonstop,N/A,2025-4-10,$252
3,JFK,LAS,Frontier,6:59 am,9:51 am,5h 52m,nonstop,N/A,2025-4-10,$252
4,LAS,JFK,Delta,3:55 pm,"12:09 am
+1",5h 14m,nonstop,N/A,2025-4-17,$292
4,JFK,LAS,Delta,9:15 pm,"12:17 am
+1",6h 02m,nonstop,N/A,2025-4-17,$292
5,LAS,LGA,Spirit Airlines,1:07 am,11:01 am,6h 54m,1 stop,"0h 55m layover, ,[object Object]",2025-4-10,$200
5,JFK,LAS,Frontier,6:59 am,9:51 am,5h 52m,nonstop,N/A,2025-4-10,$200
6,LAS,JFK,JetBlue,2:15 pm,10:29 pm,5h 14m,nonstop,N/A,2025-4-17,$317
6,JFK,LAS,JetBlue,9:45 pm,"12:57 am
+1",6h 12m,nonstop,N/A,2025-4-17,$317
7,LAS,EWR,Spirit Airlines,10:43 pm,"6:43 am
+1",5h 00m,nonstop,N/A,2025-4-10,$295
7,EWR,LAS,Spirit Airlines,5:54 pm,8:31 pm,5h 37m,nonstop,N/A,2025-4-10,$295
8,LAS,EWR,United Airlines,7:01 am,3:00 pm,4h 59m,nonstop,N/A,2025-4-17,$332
8,EWR,LAS,United Airlines,4:59 pm,7:48 pm,5h 49m,nonstop,N/A,2025-4-17,$332
9,LAS,JFK,Delta,9:34 am,5:45 pm,5h 11m,nonstop,N/A,2025-4-10,$292
9,JFK,LAS,Delta,9:15 pm,"12:17 am
+1",6h 02m,nonstop,N/A,2025-4-10,$292
10,LAS,JFK,Frontier,9:34 pm,"5:30 am
+1",4h 56m,nonstop,N/A,2025-4-17,$214
10,LGA,LAS,Spirit Airlines,11:56 am,4:32 pm,7h 36m,1 stop,"0h 39m layover, ,[object Object]",2025-4-17,$214
11,LAS,JFK,JetBlue,7:50 am,3:56 pm,5h 06m,nonstop,N/A,2025-4-10,$317
11,JFK,LAS,JetBlue,9:45 pm,"12:57 am
+1",6h 12m,nonstop,N/A,2025-4-10,$317
12,LAS,EWR,United Airlines,11:36 pm,"7:30 am
+1",4h 54m,nonstop,N/A,2025-4-17,$332
12,EWR,LAS,United Airlines,7:32 pm,10:26 pm,5h 54m,nonstop,N/A,2025-4-17,$332
13,LAS,JFK,Delta,7:25 am,3:29 pm,5h 04m,nonstop,N/A,2025-4-10,$292
13,JFK,LAS,Delta,9:15 pm,"12:17 am
+1",6h 02m,nonstop,N/A,2025-4-10,$292
14,LAS,JFK,JetBlue,10:35 am,6:35 pm,5h 00m,nonstop,N/A,2025-4-17,$317
14,JFK,LAS,JetBlue,9:45 pm,"12:57 am
+1",6h 12m,nonstop,N/A,2025-4-17,$317
15,LAS,EWR,United Airlines,11:36 pm,"7:30 am
+1",4h 54m,nonstop,N/A,2025-4-10,$332
15,EWR,LAS,United Airlines,6:15 pm,9:09 pm,5h 54m,nonstop,N/A,2025-4-10,$332
16,LAS,JFK,Delta,11:40 pm,"7:41 am
+1",5h 01m,nonstop,N/A,2025-4-17,$292
16,JFK,LAS,Delta,9:15 pm,"12:17 am
+1",6h 02m,nonstop,N/A,2025-4-17,$292
